ID,Tweet,Rinkesh_Label,Homan_Label,AMW_Label,Amen_Label,Litchi_Label
3.51746890947e+17,hahaha watch the show! <repeat>,n,,,,n
4.3309075922e+17,"i learned from the og's , save everything 💰 👌",y,,,,
4.11297044033e+17,i'd like to thank kiaradawkins<number> for coming to my game and making the absolute cutest sign ever! <repeat> love… http<neutralface>/t.co/twe<number>wuikkd,y,Y,y,y,y
3.67305579729e+17,my god is a jealous god. i pray to him. i have less and less respect for barry every day.his obots r gunk,n,,,,
4.64483148358e+17,spent the last week of children's lit watching harry potter <hashtag> winning ⚡️,y,,,,
4.09227159325e+17,s/o she fuck with me i fuck with her,n,,,,
4.33095099892e+17,dude ur frickin killin it tonight with the tweets keep doin u son mad respect stay swaggin,y,y,y,y,n
3.67807866977e+17,enjoying my sore ass mother fucking ear thanks to,n,M,n,n,n
3.51555083005e+17,sleepy,n,,,,
4.71833403991e+17,smh i checked the tweet a few times too didn't even notice,n,,,,
3.9650151987e+17,preach it lil nigggga,y,Y,y,y,m
3.51563194324e+17,all the free kindle books are raunchy novels regarding sexcapades in the <number>th century with strange men,m,,,,
4.47201949348e+17,so much love and respect for <hashtag> fangirling,y,,,y,y
3.52108301066e+17,"baby take ya time now, there's no need to rush.",n,,,,
4.46107643578e+17,"i hope you have a blessed and beautiful night, sweet dreams and god bless xo",y,,,,y
3.51555894263e+17,thanks it feels better now i think i just ate to much chocolate <smile> <smile> <smile>,y,,,,
3.56107468742e+17,show some respect,n,,,,n
4.78204718549e+17,<hashtag> blessed,y,Y,y,y,y
3.52265953214e+17,i wish i knew exactly how many tweets i have <smile>,n,N,n,n,n
3.98218694784e+17,word dude much love,y,,,,y
3.51561397635e+17,lol rt tht bet afterparty was shitty as fuck,n,,,,
4.14625497063e+17,shoutout to all the people who snap an hour after they opened one cause that's me,n,Y,n,n,y
3.51556505118e+17,ily to bro,y,,,,
4.41617258344e+17,"laughed really hard at this <lolface> preach, girl!",m,,,,
4.36649098557e+17,welcome to twitter and thanks for taking a pic w a loyal <hashtag> browns fan. <hashtag> respect http<neutralface>/t.co/<number>kcc<number>h<number>jvj,y,,,,
3.51557290279e+17,srsly guiz lolz.,n,,,,
4.76521743843e+17,shoutout to for buying me the shirt! <smile> <heart> http<neutralface>/t.co/uiogpynccj han <elong>,y,,,,
3.5155765278e+17,i have a bug bite literally bigger than a quarter on the back of my leg. <repeat> it's ginormous,n,,,,
3.72488340077e+17,lol so much respect!,y,,,,y
3.51551541062e+17,im sorry to hear that but i'm 😴 😴 😴,n,,,,
4.4383555714e+17,she hasn't told us shit,n,,,,
3.51555083173e+17,🙈❤❤,y,,,,
4.63388979217e+17,lmao <elong> thanks,y,,,,y
3.59050790415e+17,"one thing i dont give af about tho . <repeat> is being ""liked"", just respect me.",n,,,,n
3.51562195064e+17,about lose it 😳 🔫,n,,,,
4.4961941644e+17,"huge s/o to my dude competing in his first show tomorrow! <repeat> tear it up in cuse man, you're gonna kill itt. -|||-----|||- 💪 👊 <smile>",y,,,,
3.51555448321e+17,<number>/<number>/<number>,n,,,,
4.0687256449e+17,some niggas watch you see you when you think you`re on the low. aint hard to spot you you swore to keep it real after you blow.,n,,,,n
4.18098247686e+17,aw <elong> hope you feel better!,y,,,,y
4.158648456e+17,"merry christmas to all my friends and family. so blessed. doesn't matter what is under the tree, just happy to be with my fam and boy later 💜",y,Y,y,y,y
4.41042102974e+17,don't stress when you blessed,y,,,,
3.71862014677e+17,hello kitty header tho! i guess you rep it faithfully tho ! <hashtag> respect <hashtag> newbestfriends,y,,,,y
4.35644163154e+17,"i respect you for not sending me nudes, but, send me nudes. <repeat> me babe",n,,,,
3.51990281849e+17,you b on road. <repeat>u get caught n that mini storm? nah i was up-state ny at the time i heard about it tho,n,,,,n
3.51555567582e+17,it's just something about you <heart><smile> <smile>,y,,,,
4.08008474556e+17,because my favorite sabres dont deserve to be treated like this at all they deserve respect like every body else does,n,,,,n
4.53784837213e+17,yes <elong> preach 🙏 the struggle is real,y,,,,
4.15354407644e+17,thanks for what terr?,n,,,,
4.43586051563e+17,shoutout to for the follow. <repeat>even though she's a dolphins fan.,y,,,,
4.05474801118e+17,and i hope you have a blessed thanksgiving with your family,y,,,,y
4.08269242825e+17,"just keep it real with me, i'll respect you way more <smile>",n,M,n,n,y
3.51559583686e+17,quitting chew was the worst mistake ever so much happier now <hashtag> stressrelief,y,,,,
4.69448138639e+17,niggas want respect but niggas ain't earn that yet,n,,,,
3.98881461153e+17,"dr. brown is the man, i don't think anyone could be mean to him, but what assholes. 😣",n,,,,m
3.5156401881e+17,guys who hide their feelings &lt,n,,,,
3.6861245757e+17,<lolface> <lolface> <lolface> <lolface> <lolface> <lolface>,n,,,,
3.51562947795e+17,those are not furries xd,n,,,,
3.51553835565e+17,what a night. <hashtag> drained,n,,,,
3.51551985696e+17,in tenebris quaerunt veritatem,n,,,,
3.51564261375e+17,when a good thing goes bad it's not the end of the world. it's just the end of a world that you had with one girl.,m,,,,
3.52417791741e+17,i can do no right,n,,,,
3.52160884741e+17,"it's so fucking weird honestly. but shit, you hit it first. <lolface> right lmfao.",n,,,,n
4.83067257783e+17,awesome pic! thank you!,y,,,,
4.49517922504e+17,shoutout to the <number> bumass townie,y,,,,
3.51558238795e+17,i bet she did cause shes a weirdo <smile>,n,,,,
4.81817131702e+17,<number> but i gotta run to mcc after,n,,,,n
3.51557214068e+17,<hashtag> itbeginsa<number>x <hashtag> hailtotheking so happy!:),y,,,,
4.52586726809e+17,https<neutralface>/t.co/fzaxu<number>waa checkout my remix to all that matters by <hashtag> loyalgang shoutout to dem <hashtag> beliebers,y,,,,
3.51563685988e+17,"he's colin o'brien, he's callin ya mom. he met the hottest girl ever, then he took her to prom.",y,,,,
3.51551205421e+17,huh! <repeat> lol,n,,,,
3.69686140699e+17,i got so much love for you,y,,,,
3.73969902527e+17,thank you so much for the follow! <repeat> 💛,y,,,,
3.6782935305e+17,respect the hustle if nothing else ! <repeat>,n,,,,
3.51559905436e+17,last night in my apartment. <repeat>this is weird,n,,,,
4.30846461409e+17,<hashtag> shoutout to my new follower everyone <hashtag> followandgain,y,,,,
3.51554793238e+17,ack! lol :),n,,,,
3.51561712166e+17,my hair is so soft 🙆,y,,,,
4.15239048522e+17,s/o to for makin me lunch <heart> <smile>,y,,,,
3.72038507206e+17,thanks for the retweets you rock!,y,,,,
3.51558777923e+17,"i been fucking with ciara since goodies , foh ✌",n,,,,
4.35859092763e+17,"missing someone is a part of loving them. if you're never apart, you never really know how strong your love is. <heart> <sadface>❤️",y,,,,y
3.72867385286e+17,lol okay :),n,,,,
3.51561479868e+17,officially obsessed and addicted to on youtube. i love all of you.,y,,,,
4.76344397031e+17,"then again, i have the legs of a <number> year old so maybe this is a good thing <hashtag> blessed",y,,,,
3.51907831597e+17,so blessed. good night yall.,y,,,,
4.79292036911e+17,"my kinda guy, oarsman is one of my faves!",y,M,y,y,y
3.52122553185e+17,tired <hashtag> selfie http<neutralface>/t.co/ygu<number>tn<number>gz,n,,,,
4.04259904204e+17,thanks for following me),y,,,,
3.56607484674e+17,"have a good night. rest, relax and remember tomorrow is another day! hope u feel better! :^)",y,,,,y
3.5696704258e+17,welcome to my life so far this summer. <repeat> thank god for netflix,y,,,y,y
3.76914576896e+17,ouch!,n,,,,
3.51558813646e+17,i don't give a fuck right now this is pissing me off and i'm getting to the bottoms of it regardless,n,,,,
3.69791756227e+17,god i thank you,y,,,,
3.51564579534e+17,bays about to beat ass for her man <lolface> if cameron walked in with that girl omg it would be done,n,,,,
3.51556908442e+17,annoyed <elong>,n,,,,
3.5155566744e+17,"did i really just use the analogy ""toot my own horn"" ? wow i need to kill myself",n,,,,
3.52535439028e+17,all modern music is crap! music peaked when i was an emotionally vulnerable teenager!,n,,,,
3.93225140698e+17,it's like girls these days have absolutely no respect for themselves. that's not how i was raised <hashtag> comeonnow,n,,,,n
3.51556780797e+17,im boutta send a picture of myself to all my contacts . delete my number lol,n,,,,
3.51557270368e+17,damn bro! you sound like trey songz mixed with chris brown! is it on itunes? <repeat> :),y,,,,
3.68994733689e+17,we og puff puff give mofo. <repeat>cars pass! <repeat>,n,N,n,n,n
3.7819564528e+17,yeah i thought i could do it <sadface> thanks! i want to do stripes next time for the accent,n,,,,y
4.24013433756e+17,mr wise's power points give me life wbu,m,M,m,n,n
4.29698184169e+17,thanks we are trying to prove the naysayers that they are wrong &amp trying to reinforce the true power of the protocol! rt?,m,Y,y,y,m
4.66651386089e+17,who wants to fish,n,,,,
3.83618137172e+17,"yes it is, especially when one is an introvert, at least most of the time! thank you! :)",y,,,,y
3.52428474923e+17,please please please <elong> let the weather be clear for the next four days please 🙏 🙏,n,,,,
3.72014688018e+17,that's fucked up hahahah,n,,,,n
3.51559016797e+17,for every right reason,n,,,,
3.51562182108e+17,smh rt black girls cheat the most,n,,,,
3.51551389623e+17,when i cant find anything to eat http<neutralface>/t.co/cr<number>hgfom<number> aaahaha,n,,,,
3.75618446728e+17,shoutout to for the follow. <repeat>,y,,,,
3.94584415835e+17,"i hate when a guy is an asshole for not one reason what so ever. doesn't make you look funny, or cute. <repeat> you're stupid. no respect lol",n,,,,
3.60432550193e+17,thanks hals! ,y,,,,
3.72562689111e+17,dwayne is tryna be to respectful ! no gottaa give respect to get it. <repeat>☝,n,,,m,n
3.84868025088e+17,playing for respect already? <hashtag> phinsup,n,N,n,n,n
3.5155558935e+17,i would not be disappointed of you showed up at my door would be very happy. :),y,,,,
3.51555343102e+17,و كمان نبرسة,n,,,,
3.51557948273e+17,what you fronting for ?,n,,,,
3.51556980777e+17,be a simple kindof man.,n,,,,
4.11657279198e+17,:wow salman khan movie jai ho outstanding &amp god blessed u salman jai ho http<neutralface>/t.co/kfpyktem<number>c,y,,,,
3.51560463618e+17,i want tullys <sadface>,n,,,,
3.51559917045e+17,i dont make the rules home boy,n,,,,
3.51563065638e+17,i wanna harley,n,,,,
4.78217410286e+17,where's the respect at,n,N,n,n,n
3.51556178578e+17,the right music can fix anything,y,,,,
3.85194740142e+17,thank you flyness !,y,,,,
4.40121462423e+17,blessed day ladiesokay blessed day to you to,y,,,,
3.51563999554e+17,i will be thinking about you when i'm <number> years old. 👵,y,,,,
3.515595618e+17,u r ratchet,n,,,,
3.51555480818e+17,i'm real mad,n,,,,
4.69301698893e+17,"protect your girlfriend like your daughter, love her like a wife, respect her like your mother.tru",m,Y,m,m,y
3.51557245991e+17,love you,y,,,,
3.68244968081e+17,sad seeing my boys and leave. best of luck to you both. do great things. much love. ❤ 🍻 see y'all soon. <hashtag> cheers,y,,,,
4.09160367559e+17,"follow me on instagram, i always follow back and give s/o's to the people that fxck with me .",n,,,,y
4.06091372476e+17,"so thankful for my boy, bestfriend, and other half i am truly blessed and i love you very much 💙 http<neutralface>/t.co/kdsffgylb<number>",y,,,,
3.72182449327e+17,yes i did thank you for asking <smile> <smile> <smile>,y,Y,y,y,y
4.3814700298e+17,i need a shoutout,n,,,,n
3.51553573685e+17,shake and bake,y,,,,
3.51560842938e+17,my dm's aren't working 😠 good,n,,,,
3.5403466492e+17,amelia checking on our food plot. thanks hunnicutt hill http<neutralface>/t.co/qtuz<number>x<number>jg,y,,,,
3.51553699338e+17,if u don't have fun run nigguhs u need to get that shit but warning u will be up all night,n,,,,
4.45376561664e+17,s/o to my mewest follower tho!,y,,,,
4.61957848575e+17,congratulations to my friend lisa much love xoxox,y,,,,
3.5155223993e+17,how!,n,,,,
3.97145052009e+17,aww thanks girl! <repeat>❤️,y,,,,
3.65956875743e+17,i think it's so cute how isac and jj just complete each other <smile> <smile> <smile>,y,n,y,y,y
3.91377466147e+17,carving a pumpkin alone thanks to ! <repeat> <smile> <smile>,n,M,n,n,y
3.51555111686e+17,🍓 🔫,n,,,,
4.51745937108e+17,"s/o <number> <number> making me cupcakes for my bday, thx baby <heart> http<neutralface>/t.co/<number>kmimnoxfo",y,,,,y
3.89841500974e+17,respect &amp admiration for for transforming crappy personal experience into teaching moment transcendence. cool. calm. guts.,y,y,y,y,y
4.09425064259e+17,thanks ell i appreciate,y,,,,y
4.07925365467e+17,justin timberlake is the man .,y,,,,
4.06091789465e+17,<hashtag> imthankfulfor having a cousin that is also my best friend. i couldn't be more blessed. 💗 <smile> http<neutralface>/t.co/lr<number>thahztr,y,,,,
3.51554774376e+17,it's always at night that i turn into a god damn fruit cup and let it all out,n,,,,
3.5155577603e+17,lol at my life,n,,,,
4.60380721757e+17,thank god for another day <hashtag> blessed,y,,,,
4.08045642058e+17,ran by the man but the women keep the tempo. it's very seldom that ur blessed with ur equal. still play my part &amp let u take the lead role.,y,,,,
4.18208302599e+17,thanks sam,y,Y,y,y,y
3.51782269151e+17,when you put so much time n effort into a relationship it's hard to just watch it end . <repeat> there's always something you can do,n,,,,
3.59441757144e+17,"if you love what you do for a living, you'll never work a day in your life. <hashtag> blessed",y,Y,y,y,y
4.03682167572e+17,happy birthday! thanks for the smiles every day! thank your mother for me! job well done mamma strahan!,y,,,,
4.3837802654e+17,my moms coming tomorrow oh blessed day. just what i neeeeeeeed. 👭 💕 http<neutralface>/t.co/<number>qvw<number>pce<number>,y,,,,
4.06115941883e+17,ima get stoned &amp full for you scrap lol thanks lol 👍,m,Y,m,m,y
4.70760567109e+17,"because: boundaries=necessary, emotionally&ampphysically. drawing lines is not a superficial friendzone shutout-it's respect&amptime <hashtag> yesallwomen",n,,,,
4.07578837192e+17,s/o to neight<number> for the support! syracuse ny http<neutralface>/t.co/<number>p<number>qknx<number>x,y,,,,y
4.46404441957e+17,much love. <hashtag> dailycortado http<neutralface>/t.co/vcp<number>jno<number>f<number>,y,,,,y
3.75958192239e+17,thx i got to get down to business today,y,,,,
4.77261140234e+17,shoutout to and for making me smile tonight i love you guys❤️❤️❤️,y,Y,y,y,y
4.05159672808e+17,"he takes care of our kids very well, thanks",y,,,,
4.32686409271e+17,"☆♚☆♚☆ v.i.p.✧✽✧shoutout ♚☆<hashtag> must ☆ƒ▒σ▒ℓ▒ℓ▒σ▒ω☆ ""(ړײ)"" <hashtag> teamfollowback <hashtag> teamcapricorn <hashtag> tbd <hashtag> followback <hashtag> shecangetit 👀",y,,,,y
4.04336866793e+17,huge shoutout to all of my bros who came to cuse for the <number> values academy. <hashtag> λσυ syracuse university http<neutralface>/t.co/vps<number>odmlyy,y,,,,m
3.51821595369e+17,i have to stop let me get my oreo ass dressed!,n,,,,
4.11730881478e+17,"erhmehgerd cher perster! thanks for the free hobbit, amctheatres! <hashtag> shareamc amc loews webster <number> http<neutralface>/t.co/gts<number>cq<number>lml",y,Y,y,y,y
4.15343512302e+17,lit!,y,,,,
4.17090334771e+17,thank you i love you,y,Y,y,y,y
4.08230950872e+17,thanks matt miss you too buddy,y,Y,y,y,y
4.11006259203e+17,"""i'm blessed with the gene to sex your body"" just heard that line",n,N,n,n,y
4.3287837187e+17,"didn't really smoke but when you rolled it up i hit it and we lit it up, shotgun in our kisses",y,,,,
4.08611797391e+17,thanks for ruining my day,n,M,n,n,n
3.51826393527e+17,rt dmx old shit is classic.,n,,,,n
4.13418671567e+17,thank you kayley ❤️<smile>️,y,,,,
3.65902264412e+17,aww thanks girl ! you da best!,y,,,,
4.56265108248e+17,"i wish he was here to see me go to college, we would 've been too lit.",n,,,n,n
4.55518937209e+17,"everyday! <repeat> ""<user>: shoutout to the us echelon who voted their ass off for &lt<number>""",y,Y,y,y,n
3.51847859232e+17,"in north korea, it's not <number> the year is <number> because north korea marks years from the birth of kim il-sung, not jesus. lol",n,,,,
4.47028132957e+17,"og taylor tho? lol, can't wait to hear this.",n,,,,n
3.51553451144e+17,i'm almost at my <number>k tweet! so who wants that <number>k shoutout?,m,,,,
3.71138827609e+17,im blessed to have in my life. i love him more than anything <heart> <hashtag> thankful,y,,,,
3.65297931727e+17,i think it's time i switch over to the dark side <lolface> <hashtag> lolz,n,,,,n
4.45743777719e+17,bulls have been puttin in work this season without their star player <hashtag> respect,y,Y,y,y,n
3.51562568169e+17,well some dragons and lizards do because lizards so really,n,,,,
4.64565421544e+17,gonna be a great year lets go! <repeat> <hashtag> bills,y,,,,
3.51560484434e+17,text me dawg,n,,,,
3.5155874514e+17,i only respect girls who respect their self,y,,,,
3.515537569e+17,"wait are you a lesbian yet ""no i don't think so"" 😹 <lolface> 😹 <lolface> 😹",n,,,,
4.46681188636e+17,"windy as a bitch, bogie won't stay lit. <repeat>",n,,,,
3.51558916964e+17,by the last couple of girls ive learned that girls just like to fuck with your head,n,,,,
4.27200300534e+17,"life is not an inconvenience, it's a blessed responsibility",m,,,,
3.51555531976e+17,i wish i knew where my god damn softball hoodie was.,n,,,,
4.12752209375e+17,ok thank you!,y,,,,
4.24218973614e+17,thank u,y,Y,y,y,y
4.26054717639e+17,you are a very pretty lady! <repeat> i love you in the show don't let no one put you down! have a blessed day!,y,,,,y
3.51564330024e+17,damnit. <sadface> <sadface> <sadface>,n,,,,
3.5246465418e+17,it's cause leino ended season injured therefore can't be bought out. check some facts,n,,,,
4.61274900843e+17,preach it sister,y,,,,y
4.45683809338e+17,i can respect that,y,,,,y
4.60307598375e+17,s/o to dj_haiko for an amazing night that i'll never forget. this kid going places! thank you! <smile>️ 👏 🎤 http<neutralface>/t.co/mmlbh<number>mjk<number>,y,,,,
3.51559260922e+17,no.,n,,,,
4.29471316858e+17,"always hated the boy, but now the boy is the man mothafucka, i done i grown up!",n,,,,n
3.51555476175e+17,- lmaoo her pictures though .,m,,,,
4.39366875006e+17,"happy friday! good morning, have a blessed and beautiful weekend! yeehaaaaw <elong> xo",y,,,,
3.81884722018e+17,the <number> is officially my favorite band! thanks to,y,Y,y,y,y
4.71337395951e+17,<hashtag> blessed,y,,,,y
3.5155846793e+17,follow me back please? :),n,,,,
4.04625891232e+17,singing on this cold snowy morning. <repeat> blessed (@ unity christ church) http<neutralface>/t.co/m<number>fzgfzhod,y,,,,
3.83580512634e+17,thanks i'm coming to the gym now. <repeat>see ya there,n,,,,
3.5155630546e+17,i'm fucking dying! <repeat>,n,,,,
4.74689727443e+17,spitale salon on monroe ! and thank you <smile>,y,,,,y
3.51562185107e+17,happy birthday <heart> 🎉 💋 🍻,y,,,,
3.61952542399e+17,thanks i try,y,y,m,y,m
3.51557561063e+17,- lmaoo ok dont tell me ii want it to be aa suprize so ii donno bout it yet lmao .,n,,,,
4.01408486699e+17,my cat does not understand the concept of a lit cigarette and keeps trying to lick it 😸,n,N,n,n,n
4.30847092039e+17,<hashtag> shoutout to my new follower everyone <hashtag> followandgain,y,,,,m
3.51562601459e+17,o ya,n,,,,
3.52150749109e+17,volcanoes are sick 🌋,n,,,,
4.39366428031e+17,"happy friday! good morning, have a blessed and beautiful weekend! yeehaaaaw <elong> xo",y,Y,y,y,y
3.58019139984e+17,aw thanks boo <heart> <heart> you're beautiful too <heart>❤ rt <hashtag> nationaltellagirlsheisbeautifulday,y,,,,
4.28247463343e+17,"hey guys, any chance u can help a broke brother out with a ticket to your rochester show? times is tough. much love either way!",n,,,,y
3.51553270856e+17,late night mac&ampcheese <smile>,y,,,,
4.83422495711e+17,paying respects to lindsay wishmans old house before lickity splits <hashtag> rip,y,Y,y,y,y
3.51717476839e+17,if i get out of this week alive it'll be a miracle.,n,,,,n
3.5155282998e+17,sleepin al <elong> day tomorrow cuz i dont have work <smile> <hashtag> dayofrest <hashtag> thankgod,y,,,,
3.51560626717e+17,ugh! <repeat> why on the season with all the controversy is the season it's been moved from showtime! <hashtag> badmovebb <hashtag> bb<number>,n,,,,
3.97171021037e+17,"saw it on a rt, good to know! your a classy lady, wanted to make sure you were getting proper respect",y,Y,y,y,m
4.52296711445e+17,https<neutralface>/t.co/katwt<number>phm checkout my remix to all that matters by <hashtag> loyalgang shoutout to dem <hashtag> beliebers,y,,,,
4.15958529473e+17,shoutout to for getting me a cat sweater and a hp wand <heart> 💜,y,,,,
4.66782477609e+17,"treat your girl with respect, make sure you're always there for her, be the reason why she smiles. do that and she will be yours forever.",y,,,,
3.51560579313e+17,defiantly getting sick 😷 😷,n,,,,
3.71345320997e+17,shoutout to the most sweaty italiano on the planet next time well have to being you a change of clothes.,y,,,,y
4.29080188371e+17,rt if rstcv<number> is the shit fav if rstcv<number> is shit,y,Y,y,y,n
4.48807687024e+17,"""people who drink i have no respect for. they're just dirtbags."" -isaiah prior",n,,,,
