ID,Tweet,Rinkesh_Label,Homan_Label,AMW_Label,Amen_Label,Litchi_Label
3.51561968454e+17,hahaha oh <elong> shit <elong>,n,,,,
4.03963696806e+17,shoutout to for the follow. <repeat>,y,,,,
3.6695360921e+17,bomboclaat me use to run against tha ute deh innuh . <repeat> nuff respect me boss! <repeat> 👍 👌,n,,,,
3.51550778232e+17,kevin. <lolface>hart.,y,,,,
4.45655146421e+17,i miss my baby,y,,,,
3.51562617372e+17,you were so new to this life but god dam you got adjusted,y,,,,
3.5155116256e+17,yes <elong>. i watched it,n,,,,
3.51553098227e+17,congrats! <repeat>,y,,,,
3.63518541892e+17,thank you! 💕,y,Y,y,y,y
4.3051439108e+17,cooney is the man,y,Y,y,y,m
3.51562740697e+17,"you can even call me daddy, so you have someone to look up too.",y,,,,
4.45294664754e+17,that atm is <smile> <smile> <smile> <smile>s/o to i can't turn down! <repeat>,y,,,,m
3.5251937455e+17,military missile turned in during b.c. gun amnesty,n,,,,n
3.52021191143e+17,tad bit extreme i know,n,n,n,n,n
3.51562244154e+17,forgot to tell i had some beers for her the other night. 🍺 <heart> omg i love you <heart> 🍺,y,,,,
4.60055306405e+17,i love with nazareth! i had the chance to meet the admissions/heop director and we had an amazing convo! so glad i'm blessed to come here 🙏,y,,,,
4.26889768774e+17,have a great weekend! <hashtag> muchlove,y,,,,y
3.51558103592e+17,cousins are cousins lmao,y,,,,
4.45599850962e+17,niggaz gonna be in there lit lol all the way bruh idk how imma play lol,m,,,,
3.51560253886e+17,lost till i fall asleep,n,,,,
3.51552162289e+17,<hashtag> retweet this! follow me (<user>) &amp everyone who retweets this to gain follower! <hashtag> teamfollowback <hashtag> follow<number>befollowed,n,,,,
3.51780643468e+17,at least it was nice out when i worked yesterday bc i wouldn't make shit today 👎,y,,,,
4.03152458606e+17,make fun of paige all u want. but i would not be on my way to philosophy if it wasn't for this quad shuttle finally respect,n,,,,m
3.52265282632e+17,big things coming soon. rt if you're ready to come along this journey with us.&lt<number> let's go <elong>,n,,,,y
4.53704585925e+17,"man, that means a ton. thank you so much for listening. much love!",y,Y,y,y,y
3.51555761354e+17,your crazy tiger lady,n,,,,
3.51561611024e+17,you mean lameflix kinda night?,n,,,,
3.51552414417e+17,"boobs are good, but asses are great",n,,,,
3.83981938862e+17,"respect ya self girl , stop settling for less than u deserve",y,,,,
4.48232670955e+17,kelly i'm everywhere! thanks for the shoutout!,y,,,,
4.36179087192e+17,woke up this morning <hashtag> blessed,y,Y,y,y,y
3.51556598139e+17,an awful sweet tooth haha that's why i can't lose weight i love my sweets! <repeat> <smile> 🍫 🍭 🍬,y,,,,
4.64915402318e+17,keep it real or keep it movin 👉,n,,,,m
4.72521734047e+17,<hashtag> blessed <hashtag> auburnbaseball http<neutralface>/t.co/qgrfj<number>udtt,y,Y,y,y,y
4.60861265952e+17,this upcoming schoolyear i plan to ensure the comfort &amp respect that my roommates &amp i deserve via <hashtag> tinylaw http<neutralface>/t.co/kuc<number>wjduwr,y,,,,y
3.99941108471e+17,happy <hashtag> veteransday mad love &amp respect. <repeat>,y,,,,
3.51563106814e+17,so. fucking. stressed.,n,,,,
3.60012935399e+17,j.cole tho . <repeat> lol . <repeat> s/o to roc nation,y,,,,
3.51563964821e+17,happy birthday ! <smile> 🎈,y,,,,
3.5155200132e+17,baking out my grandparents garage ✌,n,,,,
3.85067023782e+17,"oh good, i don't have to choose between the sabres and new girl tonight. they play tomorrow <hashtag> blessed",y,,,,
4.71837479382e+17,my teacher told me i don't get respect cuz i haven't earned it. said no teenager has. he's still my boy tho <hashtag> trendog,n,,,,
4.69493018438e+17,"negative, jarrett led <number> laps last of which was on lap <number> hut led <number><number> and gordon led <number><number> (s/o",n,n,n,n,n
4.74412281779e+17,i don't care if they give me life.,n,,,,
3.51562150802e+17,just watched safe haven. it was amazing 😩 <heart> <sadface>,y,,,,
3.74007109144e+17,broken,n,,,,n
3.51562899829e+17,the fact that i 've been single for a year.✌ best thing that has happened to me. i grew into a stronger and better person. <heart> 💁 <hashtag> thankstomyex,y,,,,
4.15289050367e+17,"ladies, would you prefer a man to just say, ""i just want to have sex with you"" from the start? thank you! <repeat>",n,,,,
4.75467584067e+17,the respect is lost the admiration dipped,n,N,n,n,n
3.51558154741e+17,holy crap its already july <hashtag> timeflys,n,,,,
3.51557126827e+17,"niggas will realize that same bitch he playing mine games w. gon move on, and he will find someone else that'll play games w. him",n,,,,
3.68789863346e+17,respect goes both ways,n,,,,
3.51556087319e+17,twitter: a whores diary when they daddy ain't around and they mama on the corner with them <smile>,n,,,,
3.7526336786e+17,thank you stranger!,y,,,,
4.74357304428e+17,respect my mind or die from lead showuh.,n,n,n,n,n
3.51557652239e+17,you don't even talk to me!,n,,,,
3.51562286794e+17,<smile> 🔫,n,,,,
3.51807970264e+17,me escuchas y de blanco perla cambias a negro cobre 🎵,n,,,,m
4.3085290805e+17,just keep it real with me damn. <repeat>,n,,,,
3.61237645999e+17,this boy was thirsty to like all my pics and then wanted a shoutout . <repeat> fomf boy bye,n,n,n,n,n
4.40591383142e+17,closest i 've been to ice is when i play. lol,n,,,,
3.5243584671e+17,i wish a bitch would.,n,,,,n
4.59436685668e+17,thanks!,y,,,,y
4.45048360664e+17,"s/o to my girl hannah, she hurt her wrist and i want her to feel better so we can kick her butt on april first for softball! <lolface><user>",m,Y,m,n,n
3.5155492808e+17,if jts mirrors doesn't wake me up at <number> am for tomorrow run. <repeat> <hashtag> egsprobs <hashtag> weirdwithdairy <hashtag> nerdcamp <hashtag> polysciworkshop <hashtag> toomanyhashtags,n,,,,
3.51560339768e+17,<number> days til tswift niggas. <smile> 🎉 🎊 🎈,y,,,,
3.7749972652e+17,respect others but most of all respect yourself.,m,M,m,m,y
3.51551602622e+17,i dont get why some people bitch abt others tweetin to much. its fuckin twitter! <repeat> if u dont like it then delete ur twitter nd go to fb,n,,,,
4.30179819197e+17,quick s/o to and for the buffalo chicken dip <hashtag> youknowwhatsup,n,,,,n
3.51561732089e+17,<hashtag> beach <hashtag> fairhaven <hashtag> summer <hashtag> lakeontario fair haven beach state park http<neutralface>/t.co/dgh<number>vinc<number>,y,,,,
3.98674319725e+17,"s/o to for sending me the beautiful pic that captures my flip phone, hoop earrings, and sass all in one which is now my avi",y,Y,y,y,n
3.51551756683e+17,it's great getting away and just have a great time with your best friend! <repeat> <hashtag> icecreamsundae <hashtag> lesmis <hashtag> allnighterprobz,y,,,,
4.36381482002e+17,i love you so much! <repeat> &lt<number> can i please get a birthday shoutout from you &lt<number> &lt<number> &lt<number> :),y,,,,y
3.51554196929e+17,i need a person i can just talk to all day and night. 🙋 🙋 🙋 🙋 🙋 🙋 🙋 🙋 🙋,n,,,,
3.57452766824e+17,is that supposed to be funny or? <repeat>,n,,,,
3.51558925109e+17,"i am lost, i need guidance. just something to help the pain.",n,,,,
4.4752075426e+17,i'm so sad. i'm losing out on thousands of dollars laying in this bed in california at <number>pm on a saturday. be blessed,n,,,,
3.51554288e+17,gotta keep my thumb nails long so i can crack dutches,n,,,,
3.97171021037e+17,"saw it on a rt, good to know! your a classy lady, wanted to make sure you were getting proper respect",y,Y,y,y,y
3.91400334935e+17,i can't believe that i have been blessed with such amazing friends<smile>️ 💕,y,,,,y
3.51821855722e+17,kay <elong> 😜,n,Y,n,n,m
4.39984167985e+17,allen iverson is a fuckin og,y,n,y,y,m
3.51560693654e+17,yupp <neutralface> they are only like <number> dollars for the cord part,y,,,,
3.89950247776e+17,why are you gonna send another fake picture of me again?,n,,,,
4.70575788896e+17,shoutout to the squirters 💦 <lolface> <lolface>,y,y,y,y,n
4.06235426468e+17,much love❤️❤️,y,,,,
4.09112589986e+17,preach 🙏,y,,,,
4.82720516709e+17,i'm not one to preach about old shows and music being better but honestly the twilight zone is one of the greatest shows of all time.,y,N,y,y,n
3.84077078805e+17,nothing like watching when you have nothing else better to do love it :),y,,,,
3.51561842298e+17,bitches coming and going more then niggas after sex. <repeat> what's wrong with this world,n,,,,
3.52097894868e+17,why do i even try?,n,,,,n
3.51551337299e+17,"i am in ny lol,",n,,,,
3.97556036896e+17,thank goodness for pizza rolls right now <heart>,y,,,,
4.31526289917e+17,thanks gurrrl <elong>!,y,,,,
3.51559826549e+17,"bitches can have red lipstick , sharp nails , and be yellow boned and everybody call her bad 😒",n,,,,
4.03876918254e+17,preach <smile> <smile> http<neutralface>/t.co/gsnk<number>w<number>q our boyy <heart>,y,,,,y
4.77693000882e+17,im lit off the night i will most of yall,m,,,,
4.07875242435e+17,"it’s been said that great people talk about ideas, average people talk about themselves, and small people talk about others. <hashtag> preach",n,,,,n
4.12423457218e+17,haha i got sick og trapstoner,n,,,,n
4.39900413799e+17,"yes me &amp my bf fight, but i still respect him &amp appreciate him enough to not shit talk him &amp degrade him on fb or twitter.",y,,,,
4.37751992896e+17,shoutout to for the follow.,y,,,,
4.32642425136e+17,lit 🎉,y,,,,
3.51562738562e+17,i wanna watch hsm,y,,,,
3.51552736263e+17,i went to bed two hours ago yet i'm still awake <hashtag> wtf,n,,,,
4.35893664452e+17,the [<hashtag> syracuse] council pulled the $<number> study because we have other urgent items to address right now please elaborate!,n,N,n,n,n
4.6605889707e+17,i just wanna know can you keep it real with me ?,n,,,,
4.03855601811e+17,"s/o to taking her road test today. good luck, you can do this!",y,,,,
3.89806248835e+17,much love bro <elong>,y,,,,y
3.51553519213e+17,i miss you. <sadface>.,y,,,,
3.51561801957e+17,apparently i have an accent lol,y,,,,
3.5225307972e+17,"<hashtag> ifmymomhadatwitter ""i love my beautiful children i am so proud of them for winning many academics and sports god has blessed me :-)""",y,Y,y,y,y
4.51169794373e+17,oh <elong> well s/o to you for being the only one <lolface> <heart>,y,,,,
3.5156340278e+17,"lmao aha you wasn't there but just imagine me, tiara, shirley, chris, taylor, bri, chrism, &amp my <number> god brothers . <repeat> superfunny",y,,,,
3.98249646999e+17,i have lost all of my self respect ugh,n,,,,
3.51551034541e+17,it's like my body won't let me sleep. why,n,,,,
3.68518658253e+17,thanks,y,,,,y
3.52216713372e+17,ricky is always down to drink lol <lolface> <lolface>this nigga stay drunk,y,,,,
4.07684161026e+17,s/o to my cuz he really is a talented ass dude foreal . <repeat> come thru tomarow niggas need help lol lol thanks cuz,y,Y,y,y,y
3.5155503683e+17,which would make me a monk.,n,,,,
4.3020948095e+17,this years super bowl. <repeat> was worse than crocs. <hashtag> preach,n,N,n,n,n
3.51554077228e+17,"i'm at at the art table (rochester, ny) http<neutralface>/t.co/jbmn<number>lxpxw",n,,,,
4.3638082595e+17,can i get a birthday shoutout from you? &lt<number> &lt<number> :),n,,,n,n
4.12395926285e+17,shoutout to my main nigga he da realist nigga give him a follow,y,,,,
4.2501447352e+17,"shoutout to all my babes getting first place! love you all, good job! <hashtag> wihsvc 💙 💛 💙 💛 🎀",y,,,,y
4.41716237325e+17,you had a whole week to recover! better be ready <smile>,n,M,n,n,y
3.51783473881e+17,is work canceled?,n,,,,n
3.8617415652e+17,preach it,y,,,,
3.51551551535e+17,i won though <smile> <smile>,n,,,,
3.98678502176e+17,shoutout to happy birthday! <repeat> http<neutralface>/t.co/ud<number>qdvmygg,y,,,,
4.25093652034e+17,rt appreciate the luv my brotha! <hashtag> respect <hashtag> shoegamevicious,y,Y,y,y,y
4.12841259687e+17,the person who makes you happiest is the person who can hurt you the most. <hashtag> preach <hashtag> bestfriendwhereyouat <hashtag> mhmkbye,n,,,,n
3.60447253372e+17,just keep it real,n,m,n,n,n
3.69059702157e+17,┃┏┃┃┃┏┛ ┃━┛━┛┏┛ ━┛ ♡ ━┛ <hashtag> sundaylove g♥♥d m♥rning ▓have a greeeeat day ❥♡❥ ▓ <hashtag> muchlove <hashtag> tbl,y,,,,y
3.51560636264e+17,text me dawg the zone,n,,,,
3.52541278619e+17,summer story's fixin' to ruin a <number>th of july celebration <hashtag> video <hashtag> storm <hashtag> rain <hashtag> summer <hashtag> <number>thofjuly… http<neutralface>/t.co/mmgw<number>gjci<number>,n,,,,
4.41198140105e+17,preach sister,y,,,,m
3.51564489952e+17,"i haven't blogged yet as never know how best <number> start, never enough time, now down <number> lbs, lost job, time now",n,,,,
3.51563829589e+17,what the hell are you talking about?,n,,,,
3.71903533488e+17,so much respect for http<neutralface>/t.co/yggsqairod,y,,,,y
3.51864806343e+17,"(guy gets dragged down a hole by a zombie) steph: ""da fuck is this ""alice in wonderland"" shit. <repeat>"" lmfao.",n,,,,
3.51564015442e+17,i'm gonna be screaming 👌,n,,,,
4.53257289756e+17,bad bitches are only good to look they don’t warrant props to me. <smile> <smile> <smile> <smile> <smile> <smile>,y,,,,
4.83775513774e+17,"bray blows out the candle, then walks out with a lit lantern. <hashtag> mindblown",n,,,,n
3.51555850064e+17,i owe everything to the two most important people in my life.,y,,,,
3.5155099639e+17,wide awake. <repeat>someone text me <sadface>,n,,,,
4.67547413566e+17,"grillin, bonfire, s'mores <hashtag> summer",n,Y,m,m,n
3.51550963121e+17,id be fine with that!,n,,,,
3.63813131795e+17,"i must say, pastor scott gallatin shared depth on a epic level, w jesus in marriage. god has blessed him. he says i'm next. lol. :-d",y,,,,
3.98483764945e+17,thanks,y,,,y,y
3.5155726242e+17,love it and love you! <repeat><smile> <heart> 💜,y,,,,
4.2689601057e+17,"thanks! it was a spur of the moment thing, but i like the look and plan to wear it more often.",y,,,,
4.10536798013e+17,thank goodness for netflix and tea ☕️,y,Y,y,y,y
3.5155681446e+17,answer your phone fucker,n,,,,
4.76464503648e+17,| thanks for following and for all the favs! <repeat> ✨ 🌍 💫 🌹let freedom ring! <repeat> 🔔 🎵,y,,,,
3.72153557393e+17,<hashtag> preach it,y,,,,m
3.51551367611e+17,no words can explain how sorry i am for your recent discovery. <repeat> holy shit.,n,,,,
4.57915936554e+17,i love how big the s/o phenomenon has gotten,y,Y,y,y,y
4.2862590052e+17,whatever shred of respect you had left 😳,n,N,n,n,n
3.51559880974e+17,uh i think this tweet was suppose to be a private message lol,n,,,,
3.51557123769e+17,it just really annoys me for some reason.,n,,,,
3.70731448452e+17,i respect your not drinking and driving but don't f'n j-walk! <lolface> <lolface> <lolface> <lolface> still dying,n,,,,m
4.5691428282e+17,s/o thomo's hat <hashtag> kangol,y,Y,y,y,n
4.33031306844e+17,"gotta give this girl a shoutout-- happy <number>st birthday honey boo boo, love you! 💕 http<neutralface>/t.co/<number>kuwznowmk",y,Y,y,y,y
4.25131761879e+17,give me a shoutout? <hashtag> shoutout <hashtag> pleaze,n,,,,
4.40505583822e+17,shoutout for da tweets http<neutralface>/t.co/ebvxgtb<number>hb,y,Y,y,y,n
3.51562648649e+17,had a nice lil bet gathering at my house!,y,,,,
4.15370232875e+17,good,n,,,,y
4.10216441485e+17,<number> game win streak in ping-pong comes to an end thanks to way to good for me lol,n,,,,
3.5221151163e+17,"livin life without fear, put <number> carrots in my baby girls ear <hashtag> biggie",n,,,,
3.9249709166e+17,s/o to for making my life,y,,,,y
4.28189703725e+17,"lmao! right why <elong>, hell yea kept it straight <number> can't even b mad just gotta respect it 👌 <smile>",m,,,,
4.24040629988e+17,its genius thank you for sharing,y,,,,
4.01128010063e+17,thanks for your amazing talk on <hashtag> entrepreneurship and building <hashtag> fromnothingtosomething! stay tuned for our <hashtag> takeaways,y,,,,
3.51551904125e+17,forgive me my queen. your words are my dogma. :d,y,,,,
4.04013123818e+17,putting the team on that's a true og,y,,,,
4.50845954351e+17,the avatar! wow man i respect you lol,m,,,,y
3.51556326931e+17,there is a reason why matt is my best friend. <hashtag> deeptweets <hashtag> relatestome <hashtag> loveyabro,y,,,,
3.51562500611e+17,<lolface> 👌 <lolface>,n,,,,
4.72473083401e+17,someone plz bring me some ice cream work. plz&ampthx <hashtag> craving,n,N,n,n,n
3.88290196196e+17,i kind of despise ap lit and economics. <repeat>,n,,,,n
3.51561109767e+17,when you post on town ballrooms status bitching about prices. <repeat> and they remove it. <hashtag> fuckbuffalo,n,,,,
4.03719395367e+17,why? im not crazy,n,,,,
4.17506673491e+17,"videos, pictures, merchandise. <repeat>you know i'll be all over it",n,Y,m,m,n
3.51561714472e+17,literally was just thinking about how it's already july,n,,,,
3.94220620617e+17,shoutout to mrs. kinnaird for giving up her spot so i can give blood tuesday ✊ it's not fun i swear 💀,y,,,,
3.69941894027e+17,hey i love u u keeps it real all the way no holdin back im the same way thats why im stickin wit me,y,,,,y
3.57691544226e+17,why can't i just have trey songz. <repeat>,n,,,,n
4.76881477293e+17,if you don't naturally have blonde hair then you probably shouldn't have blonde hair. <repeat> preach.,n,Y,n,n,n
3.51556973164e+17,me and got cursed out today by this white dude at the movie theater <lolface> 😒,n,,,,
3.51556088766e+17,told you,n,,,,
3.51559139069e+17,thank you for the follow back. lmao your bio &gt,y,,,,
4.74282679169e+17,thanks girl 💁,y,,,,
3.5156141708e+17,"i need to go to bed, i shouldn't be awake. i'm way too pissed.",n,,,,
4.3295210237e+17,"shoutout to my little bro geoffrey, turning <number> today, he's the man http<neutralface>/t.co/nh<number>hdbdza<number>",y,,,,
3.51563336376e+17,don't speak if not spoken to you clown,n,,,,
3.51556070877e+17,👩 👸 👦 that's us three and you know what could have happened <heart> <heart> <smile>,n,,,,
3.65518655335e+17,i like hangin around og's.,n,,,,
4.11682885239e+17,so glad you're here for this. <hashtag> blessed,y,Y,y,y,y
3.51554948506e+17,i'm surrounded by people who are so shady about everything. <hashtag> hateit,n,,,,
3.51559795549e+17,<lolface> asshole,n,,,,
3.51560691176e+17,ciara must have a dick cause y'all riding tf out of it 😒,n,,,,
3.51891367054e+17,i'm saying tho! <repeat> <hashtag> alexrodriguez,n,M,n,n,n
3.51552885572e+17,huh <elong>?,n,,,,
3.51551528395e+17,lmao but cat-dog is on so it's all gooooooooooooood,m,,,,
3.51555782766e+17,"i'm done putting effort into everything , shiiiiiit im chillin ✌",n,,,,
4.02966874948e+17,it only take <number> playoff series to truely hate a team. i hate the bruins. but they are a rival i have immense respect for <hashtag> nyr <hashtag> coachconall,y,,,,
3.51821656186e+17,tiona jumped on the bed &amp scared the fuck outta me,n,N,n,n,n
3.97912213707e+17,"i dont need a girlfriend. gta<number> is my girlfriend, what you think the hole in the disk is for?<user>",n,,,,n
4.31572742145e+17,"s/o to dj jett. <repeat>congrats bro! <repeat> syracuse, ny http<neutralface>/t.co/yjend<number>kpcw",y,y,y,y,y
4.4344441235e+17,s/o to diana for fucking with my album <hashtag> gamm <hashtag> grindandmakemusic. we linked up the sammy's awards… http<neutralface>/t.co/<number>lkd<number>e<number>nth,n,,,,
4.56595484321e+17,you didn't follow me for a while. is my og,y,,,,
4.69953212733e+17,so much love from right now 💛 he even corrected his grammar <hashtag> thanksteem <hashtag> youknowmesowell http<neutralface>/t.co/olmiqgnimr,y,,,,
4.48946444151e+17,that was lit <smile>,n,,,,m
3.51558365514e+17,my phone is about to die but im too lazy to get up and get the charger <smile>,n,,,,
3.51558566538e+17,it's like wishing for rain as i stand in the desert.,y,,,,
4.04749627364e+17,thank you <smile>️,y,,,,
3.94204231228e+17,"i just saw this, thanks babe loveyou <heart>",y,,,,
3.51564225669e+17,played some league tonight. getting a little better,y,,,,
4.64507564039e+17,some recent work <hashtag> normandyink <hashtag> gavin <hashtag> tattoolife <hashtag> getinkedordienaked normandy ink tattoo http<neutralface>/t.co/f<number>zlq<number>gp,n,,,,
4.56838212624e+17,relationships nowadays are a complete joke. nobody is faithful &amp everyone is an attention whore. preach b,n,Y,n,n,n
4.55521768053e+17,thank you! <repeat> ((:,y,,,,
3.51553433755e+17,i'm not sure what to do with my hands,n,,,,
4.61250711985e+17,bunch of scumbags that don't respect shit that isn't theirs. my car is the only thing that i love that i own. sad,n,,,,
4.47490921749e+17,preach it 👏 <smile>,y,,,,
4.10122502498e+17,og date with,m,Y,m,m,n
4.55710417617e+17,s/o to my parents for not using a condom and creating a fucking legend.,n,,,,
3.58267902824e+17,make dez niggaz respect yo hustle <hashtag> $$$,y,Y,y,y,n
3.99561345567e+17,neutralizing shampoo. <hashtag> yesjesus <hashtag> preach <hashtag> loverenovation,y,,,,
3.51553052912e+17,"online , lol",n,,,,
3.515566308e+17,i smoke good,n,,,,
3.5254808389e+17,tampa bay lightning sign (g) cedric desjardins and (d) matt taormina to one year two-way contracts,n,,,,n
3.51550831759e+17,i hope to see this week or next <hashtag> littleme <hashtag> misshertons <hashtag> <number>manygoodtimes <hashtag> loveyou,y,,,,
3.51554939027e+17,if he's bad at kissing he's probably worse at other stuff,n,,,,
3.51564745457e+17,you're not allowed over anymore because i hate you,n,,,,
3.52111630119e+17,whenever they hmu to i really don't be ballin like that anymore cause football,y,,,,
3.98678502176e+17,shoutout to happy birthday! <repeat> http<neutralface>/t.co/ud<number>qdvmygg,y,Y,y,y,y
3.51560306067e+17,how to disappear completely ( and never be found again ),n,,,,
3.51560390712e+17,just found out that we have mutual cousins. oh god. small world! <repeat>,m,,,,
3.91020092085e+17,i'm soo loved thanks for the package i'm so <elong> happy now angela_dipasquale<number>… http<neutralface>/t.co/<number>zsxdm<number>zty,y,y,y,y,y
4.5220198392e+17,thank you guys i think and pray every night for you both. 🙏 <heart>,y,,,,
4.60796449522e+17,thanks so much victoria :),y,Y,y,y,y
4.64111500412e+17,and i'm so blessed to have such an amazing one,y,Y,y,y,y
4.09816383406e+17,prater is the man <hashtag> crazykick <hashtag> broketherecord,y,,,,
3.5156338339e+17,we are the same person! 😒,y,,,,
3.51553717893e+17,"i keep telling myself to forget about you. we were just a couple of kids. you said, ""we could do anything."" and that's what we did.",n,,,,
3.86945682785e+17,sacked pass incomplete sacked again ryan tannehill everybody 👏 👏 👏 thanks for the great drive on that play. <hashtag> miavsbal,y,,,,y
3.52240362712e+17,i'm just gonna walk out fuck my health,n,,,,
3.51552118853e+17,"it's not thursday, the throwbacks need to end.",n,,,,
4.44836908628e+17,if you don't respect yourself why would a male?,n,,,n,n
3.51559911614e+17,<number> ?,n,,,,
3.69545899238e+17,<hashtag> preach,m,Y,m,m,m
4.46827252325e+17,preach,y,,,,m
3.51559448424e+17,people act all tough &amp throw some low blows over the damn computer smh. this is why i dont make an ask.,n,,,,
3.86112502394e+17,thanks lainy! 💙,y,,,,
